# x  f(x)  numerical_df  exact_df  absolute_error
   1.382300767579509E+00    9.822872507286887E-01    1.564087338719686E-01    1.873813145857245E-01    3.097258071375589E-02
   1.445132620651305E+00    9.921147013144779E-01    9.409283388535758E-02    1.253332335643043E-01    3.124039967894668E-02
   1.507964473723101E+00    9.980267284282716E-01    3.140559247032949E-02    6.279051952931330E-02    3.138492705898382E-02
   1.570796326794897E+00    1.000000000000000E+00   -3.140559247032949E-02   -1.608122649676636E-16    3.140559247032933E-02
   1.633628179866693E+00    9.980267284282716E-01   -9.409283388535934E-02   -6.279051952931340E-02    3.130231435604594E-02
   1.696460032938488E+00    9.921147013144778E-01   -1.564087338719686E-01   -1.253332335643044E-01    3.107550030766426E-02
   1.759291886010284E+00    9.822872507286886E-01   -2.181073600423391E-01   -1.873813145857248E-01    3.072604545661431E-02
   1.822123739082080E+00    9.685831611286311E-01   -2.789452161063980E-01   -2.486898871648549E-01    3.025532894154315E-02
   1.884955592153876E+00    9.510565162951535E-01   -3.386822028404319E-01   -3.090169943749476E-01    2.966520846548437E-02
   1.947787445225672E+00    9.297764858882513E-01   -3.970825656490347E-01   -3.681245526846780E-01    2.895801296435668E-02
   2.010619298297468E+00    9.048270524660195E-01   -4.539158249807898E-01   -4.257792915650727E-01    2.813653341571709E-02
   2.073451151369264E+00    8.763066800438635E-01   -5.089576859257589E-01   -4.817536741017154E-01    2.720401182404342E-02
   2.136283004441060E+00    8.443279255020150E-01   -5.619909234050301E-01   -5.358267949789969E-01    2.616412842603322E-02
   2.199114857512855E+00    8.090169943749475E-01   -6.128062394588497E-01   -5.877852522924730E-01    2.502098716637668E-02
   2.261946710584651E+00    7.705132427757893E-01   -6.612030892500681E-01   -6.374239897486897E-01    2.377909950137835E-02
   2.324778563656447E+00    7.289686274214114E-01   -7.069904725229724E-01   -6.845471059286887E-01    2.244336659428370E-02
   2.387610416728243E+00    6.845471059286885E-01   -7.499876873940510E-01   -7.289686274214117E-01    2.101905997263931E-02
   2.450442269800039E+00    6.374239897486895E-01   -7.900250434997705E-01   -7.705132427757894E-01    1.951180072398118E-02
   2.513274122871834E+00    5.877852522924732E-01   -8.269445316869040E-01   -8.090169943749473E-01    1.792753731195662E-02
   2.576105975943630E+00    5.358267949789967E-01   -8.606004476024905E-01   -8.443279255020151E-01    1.627252210047547E-02
   2.638937829015426E+00    4.817536741017152E-01   -8.908599667223351E-01   -8.763066800438636E-01    1.455328667847156E-02
   2.701769682087222E+00    4.257792915650725E-01   -9.176036685487310E-01   -9.048270524660196E-01    1.277661608271141E-02
   2.764601535159018E+00    3.681245526846778E-01   -9.407260079086064E-01   -9.297764858882515E-01    1.094952202035493E-02
   2.827433388230814E+00    3.090169943749471E-01   -9.601357314920979E-01   -9.510565162951536E-01    9.079215196944213E-03
   2.890265241302610E+00    2.486898871648548E-01   -9.757562379876810E-01   -9.685831611286311E-01    7.173076859049887E-03
   2.953097094374406E+00    1.873813145857246E-01   -9.875258803925487E-01   -9.822872507286887E-01    5.238629663860017E-03
   3.015928947446202E+00    1.253332335643041E-01   -9.953982093051669E-01   -9.921147013144779E-01    3.283507990688994E-03
   3.078760800517998E+00    6.279051952931314E-02   -9.993421562398426E-01   -9.980267284282716E-01    1.315427811571013E-03
   3.141592653589794E+00   -3.216245299353273E-16   -9.993421562398426E-01   -1.000000000000000E+00    6.578437601574283E-04
   3.204424506661589E+00   -6.279051952931335E-02   -9.953982093051666E-01   -9.980267284282716E-01    2.628519123104911E-03
   3.267256359733385E+00   -1.253332335643043E-01   -9.875258803925487E-01   -9.921147013144779E-01    4.588820921929138E-03
   3.330088212805181E+00   -1.873813145857248E-01   -9.757562379876810E-01   -9.822872507286886E-01    6.531012741007647E-03
   3.392920065876977E+00   -2.486898871648550E-01   -9.601357314920974E-01   -9.685831611286311E-01    8.447429636533665E-03
   3.455751918948773E+00   -3.090169943749477E-01   -9.407260079086055E-01   -9.510565162951535E-01    1.033050838654803E-02
   3.518583772020569E+00   -3.681245526846783E-01   -9.176036685487319E-01   -9.297764858882512E-01    1.217281733951936E-02
   3.581415625092364E+00   -4.257792915650727E-01   -8.908599667223351E-01   -9.048270524660195E-01    1.396708574368433E-02
   3.644247478164160E+00   -4.817536741017154E-01   -8.606004476024897E-01   -8.763066800438635E-01    1.570623244137381E-02
   3.707079331235956E+00   -5.358267949789968E-01   -8.269445316869040E-01   -8.443279255020150E-01    1.738339381511100E-02
   3.769911184307752E+00   -5.877852522924734E-01   -7.900250434997688E-01   -8.090169943749472E-01    1.899195087517846E-02
   3.832743037379548E+00   -6.374239897486900E-01   -7.499876873940527E-01   -7.705132427757890E-01    2.052555538173628E-02
   3.895574890451344E+00   -6.845471059286887E-01   -7.069904725229706E-01   -7.289686274214116E-01    2.197815489844090E-02
   3.958406743523140E+00   -7.289686274214116E-01   -6.612030892500681E-01   -6.845471059286886E-01    2.334401667862052E-02
   4.021238596594936E+00   -7.705132427757894E-01   -6.128062394588462E-01   -6.374239897486895E-01    2.461775028984337E-02
   4.084070449666731E+00   -8.090169943749473E-01   -5.619909234050265E-01   -5.877852522924732E-01    2.579432888744670E-02
   4.146902302738527E+00   -8.443279255020153E-01   -5.089576859257553E-01   -5.358267949789963E-01    2.686910905324102E-02
   4.209734155810323E+00   -8.763066800438636E-01   -4.539158249807863E-01   -4.817536741017153E-01    2.783784912092901E-02
   4.272566008882119E+00   -9.048270524660198E-01   -3.970825656490311E-01   -4.257792915650722E-01    2.869672591604105E-02
   4.335397861953915E+00   -9.297764858882515E-01   -3.386822028404302E-01   -3.681245526846778E-01    2.944234984424765E-02
   4.398229715025710E+00   -9.510565162951535E-01   -2.789452161063962E-01   -3.090169943749476E-01    3.007177826855134E-02
   4.461061568097507E+00   -9.685831611286312E-01   -2.181073600423391E-01   -2.486898871648544E-01    3.058252712251530E-02
   4.523893421169302E+00   -9.822872507286887E-01   -1.564087338719669E-01   -1.873813145857246E-01    3.097258071375777E-02
   4.586725274241099E+00   -9.921147013144779E-01   -9.409283388535758E-02   -1.253332335643037E-01    3.124039967894615E-02
   4.649557127312894E+00   -9.980267284282716E-01   -3.140559247032949E-02   -6.279051952931321E-02    3.138492705898372E-02
   4.712388980384690E+00   -1.000000000000000E+00    3.140559247032949E-02   -1.836970198721030E-16    3.140559247032967E-02
   4.775220833456486E+00   -9.980267284282716E-01    9.409283388535758E-02    6.279051952931372E-02    3.130231435604386E-02
   4.838052686528282E+00   -9.921147013144779E-01    1.564087338719686E-01    1.253332335643042E-01    3.107550030766440E-02
   4.900884539600078E+00   -9.822872507286886E-01    2.181073600423391E-01    1.873813145857251E-01    3.072604545661400E-02
   4.963716392671873E+00   -9.685831611286311E-01    2.789452161063962E-01    2.486898871648549E-01    3.025532894154129E-02
   5.026548245743669E+00   -9.510565162951536E-01    3.386822028404302E-01    3.090169943749472E-01    2.966520846548293E-02
   5.089380098815465E+00   -9.297764858882512E-01    3.970825656490311E-01    3.681245526846783E-01    2.895801296435285E-02
   5.152211951887261E+00   -9.048270524660196E-01    4.539158249807863E-01    4.257792915650726E-01    2.813653341571365E-02
   5.215043804959057E+00   -8.763066800438634E-01    5.089576859257571E-01    4.817536741017157E-01    2.720401182404136E-02
   5.277875658030853E+00   -8.443279255020150E-01    5.619909234050248E-01    5.358267949789968E-01    2.616412842602800E-02
   5.340707511102649E+00   -8.090169943749470E-01    6.128062394588462E-01    5.877852522924737E-01    2.502098716637247E-02
   5.403539364174445E+00   -7.705132427757890E-01    6.612030892500629E-01    6.374239897486900E-01    2.377909950137291E-02
   5.466371217246240E+00   -7.289686274214116E-01    7.069904725229671E-01    6.845471059286886E-01    2.244336659427848E-02
   5.529203070318037E+00   -6.845471059286883E-01    7.499876873940456E-01    7.289686274214119E-01    2.101905997263376E-02
   5.592034923389832E+00   -6.374239897486896E-01    7.900250434997634E-01    7.705132427757894E-01    1.951180072397407E-02
   5.654866776461628E+00   -5.877852522924726E-01    8.269445316868986E-01    8.090169943749478E-01    1.792753731195085E-02
   5.717698629533424E+00   -5.358267949789963E-01    8.606004476024834E-01    8.443279255020153E-01    1.627252210046815E-02
   5.780530482605220E+00   -4.817536741017153E-01    8.908599667223290E-01    8.763066800438636E-01    1.455328667846545E-02
   5.843362335677016E+00   -4.257792915650722E-01    9.176036685487248E-01    9.048270524660197E-01    1.277661608270508E-02
   5.906194188748811E+00   -3.681245526846779E-01    9.407260079086002E-01    9.297764858882515E-01    1.094952202034871E-02
   5.969026041820608E+00   -3.090169943749468E-01    9.601357314920907E-01    9.510565162951538E-01    9.079215196936996E-03
   6.031857894892403E+00   -2.486898871648545E-01    9.757562379876739E-01    9.685831611286312E-01    7.173076859042671E-03
   6.094689747964199E+00   -1.873813145857247E-01    9.875258803925416E-01    9.822872507286887E-01    5.238629663852912E-03
   6.157521601035995E+00   -1.253332335643038E-01    9.953982093051600E-01    9.921147013144779E-01    3.283507990682111E-03
   6.220353454107791E+00   -6.279051952931326E-02    9.993421562398355E-01    9.980267284282716E-01    1.315427811563907E-03
